"tip_label","kingdom","phylum","class","family","genus","species","habitat_preference","num_present"
"otu_4174","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","terrestrial",5
"otu_13073","Bacteria","Myxococcota","Polyangia","Polyangiaceae","CAIVJW01","CAIVJW01 sp903906315","freshwater:terrestrial",8
"otu_12176","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","terrestrial",5
"otu_13828","Bacteria","Myxococcota","Polyangia","Polyangiaceae","CAIVJW01","CAIVJW01 sp903906315","terrestrial",5
"otu_9066","Bacteria","Myxococcota","Polyangia","Polyangiaceae","CAIVJW01","CAIVJW01 sp903906315","terrestrial",5
"otu_5506","Bacteria","Myxococcota","Polyangia","Polyangiaceae","CAIVJW01","CAIVJW01 sp903906315","mud_and_shore",4
"otu_2807","Bacteria","Myxococcota","Polyangia","Polyangiaceae","CAIVJW01","CAIVJW01 sp903906315","mud_and_shore",7
"otu_1639","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"mud_and_shore",4
"otu_5778","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",4
"otu_4762","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater",9
"otu_9665","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",7
"otu_18057","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",5
"otu_1519","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_9008","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",4
"otu_4447","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",5
"otu_218","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",14
"otu_7373","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Plesiocystis","Plesiocystis pacifica","freshwater",5
"otu_3337","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",9
"otu_8427","Bacteria","Myxococcota","Polyangia","Polyangiaceae","CAIVJW01","CAIVJW01 sp903906315","mud_and_shore",5
"otu_4470","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater",4
"otu_6925","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater",6
"otu_6169","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","freshwater:terrestrial",4
"otu_4359","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","freshwater",9
"otu_4072","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater",6
"otu_4874","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater",5
"otu_25061","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater",4
"otu_7418","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",6
"otu_9893","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","terrestrial",6
"otu_10802","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","terrestrial",8
"otu_4616","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","terrestrial",4
"otu_2797","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","terrestrial",5
"otu_3867","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",6
"otu_1598","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","terrestrial",4
"otu_743","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","terrestrial",6
"otu_221","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",17
"otu_20451","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater",4
"otu_5117","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater",10
"otu_9397","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","terrestrial",5
"otu_631","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Polyangium","Polyangium spumosum","terrestrial",6
"otu_7732","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:mud_and_shore",6
"otu_2841","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",8
"otu_4841","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","terrestrial",4
"otu_1005","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater:terrestrial",6
"otu_12885","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","terrestrial",4
"otu_9104","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","freshwater:terrestrial",5
"otu_3017","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater",7
"otu_4497","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater",13
"otu_2103","Bacteria","Myxococcota","Polyangia","Polyangiaceae",NA,NA,"freshwater:terrestrial",14
"otu_6825","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp004193285","freshwater:terrestrial",6
"otu_6815","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp004193285","freshwater:terrestrial",9
"otu_5156","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp004193285","freshwater:mud_and_shore",4
"otu_78","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp004193285","freshwater:terrestrial",20
"otu_551","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater",5
"otu_5400","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater",5
"otu_1498","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095",NA,"freshwater:terrestrial",4
"otu_1158","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",14
"otu_1000","Bacteria","Myxococcota","Polyangia","Polyangiaceae","SZUA-265","SZUA-265 sp003235365","freshwater:mud_and_shore",6
"otu_2365","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:mud_and_shore",10
"otu_572","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",7
"otu_699","Bacteria","Myxococcota","Polyangia","Polyangiaceae","PMG-095","PMG-095 sp903642325","freshwater:terrestrial",10
